100 2024
1 2 4185
1 3 5287
1 5 4137
1 6 8428
1 8 8836
1 10 3352
1 12 502
1 16 4357
1 17 9173
1 20 9284
1 22 2208
1 25 1612
1 26 5253
1 30 2584
1 33 1024
1 36 6511
1 37 7251
1 38 4630
1 41 3757
1 42 4660
1 46 1806
1 49 6825
1 52 2195
1 53 5291
1 56 9336
1 59 8373
1 62 7689
1 66 9616
1 68 7215
1 71 1316
1 74 3957
1 76 3435
1 79 9610
1 83 5285
1 85 3812
1 89 8650
1 90 647
1 92 4263
1 93 5699
1 95 547
1 97 468
1 100 9268
2 3 7946
2 6 3789
2 7 3773
2 8 3387
2 9 9270
2 10 5275
2 14 7576
2 17 4937
2 20 3195
2 22 3343
2 23 1752
2 24 3021
2 26 9850
2 29 8823
2 30 5178
2 32 1165
2 35 6017
2 36 8271
2 37 6397
2 38 3858
2 41 1169
2 45 886
2 49 2383
2 51 6470
2 52 2100
2 56 5757
2 59 109
2 60 7640
2 62 8683
2 64 6615
2 68 7243
2 71 3323
2 74 9071
2 75 9388
2 79 5942
2 80 7474
2 82 1420
2 85 2194
2 87 6872
2 90 5718
2 93 1167
2 95 2809
2 98 6590
3 4 7572
3 5 3249
3 7 5472
3 11 8304
3 13 6442
3 16 9431
3 17 9182
3 21 8117
3 24 5173
3 25 7705
3 27 9678
3 31 2369
3 35 3535
3 38 3209
3 41 1149
3 44 9483
3 48 1411
3 51 2894
3 53 5914
3 54 4720
3 58 4911
3 60 876
3 64 5861
3 65 9790
3 66 4869
3 68 4739
3 70 2058
3 73 6281
3 77 3333
3 79 978
3 80 1980
3 84 9540
3 86 9531
3 87 2963
3 91 6322
3 93 4139
3 97 1819
3 100 8016
4 5 347
4 6 1404
4 9 1639
4 11 6100
4 15 2292
4 16 1979
4 20 4562
4 24 6444
4 25 9756
4 28 6270
4 30 1108
4 34 1069
4 35 6902
4 39 1352
4 43 2914
4 46 9091
4 50 3512
4 52 4814
4 54 2975
4 55 1537
4 57 5985
4 60 7229
4 62 9162
4 66 7074
4 67 2346
4 70 4542
4 71 2563
4 74 3573
4 78 3510
4 79 875
4 82 631
4 83 6022
4 85 446
4 88 1983
4 92 4439
4 95 1377
4 99 6077
4 100 7309
5 6 4968
5 9 495
5 11 4065
5 12 3458
5 15 6987
5 18 5134
5 22 8295
5 23 3258
5 24 5961
5 27 5759
5 30 9157
5 31 2518
5 34 3952
5 37 6710
5 41 8839
5 44 1606
5 47 4741
5 48 3812
5 49 3477
5 50 8124
5 53 6991
5 54 3650
5 55 5605
5 58 550
5 60 5229
5 64 4312
5 65 6740
5 66 671
5 69 3415
5 70 3411
5 72 7739
5 76 8752
5 79 9808
5 82 7623
5 86 2523
5 88 2790
5 90 1695
5 93 1138
5 96 6037
5 99 5204
5 100 686
6 7 8341
6 9 9036
6 13 7160
6 15 9084
6 17 1043
6 19 8278
6 21 9288
6 22 5048
6 24 4061
6 27 1700
6 29 3424
6 31 9629
6 32 3384
6 33 2588
6 37 5974
6 38 4442
6 40 3390
6 41 6017
6 43 2267
6 47 3811
6 48 1909
6 52 5795
6 56 2865
6 58 7150
6 59 4752
6 60 114
6 63 4934
6 65 9076
6 66 4451
6 69 3244
6 73 1275
6 75 1077
6 76 3854
6 78 7906
6 82 8533
6 86 2121
6 88 144
6 91 681
6 95 1448
6 97 6272
7 8 3018
7 9 7066
7 12 5171
7 13 8960
7 14 4143
7 17 32
7 19 2580
7 23 6422
7 25 893
7 28 5245
7 30 2382
7 31 6207
7 32 7971
7 35 8224
7 38 1057
7 41 4662
7 43 9924
7 46 1069
7 48 4208
7 52 4702
7 54 8570
7 55 107
7 57 8532
7 61 3923
7 62 3546
7 65 5190
7 69 2872
7 73 1144
7 75 974
7 79 9304
7 81 6554
7 82 8796
7 83 2032
7 87 7910
7 90 9879
7 93 928
7 97 35
7 100 2289
8 9 3902
8 12 4331
8 16 1718
8 20 6067
8 21 3607
8 23 8122
8 27 9269
8 29 9302
8 32 4082
8 33 4991
8 34 7948
8 35 5043
8 37 5499
8 40 5317
8 42 3345
8 44 440
8 46 3804
8 48 1033
8 49 3333
8 52 6449
8 55 7001
8 58 4210
8 59 4688
8 62 8431
8 63 1595
8 65 1222
8 67 6310
8 71 6411
8 75 8574
8 79 33
8 81 9321
8 85 1856
8 89 4285
8 93 1337
8 94 2679
8 95 895
8 98 5047
8 99 5935
9 10 8603
9 12 4843
9 14 479
9 18 2431
9 22 8667
9 24 1287
9 25 557
9 29 5498
9 30 4483
9 31 5692
9 35 6581
9 39 2724
9 42 1153
9 45 5277
9 48 8711
9 51 2273
9 52 8268
9 55 3850
9 57 9518
9 58 1873
9 62 5110
9 66 1764
9 68 7171
9 70 8234
9 71 7306
9 72 3112
9 74 7293
9 78 5836
9 79 9442
9 83 4631
9 87 5015
9 90 1804
9 92 357
9 94 8368
9 96 8274
9 100 4398
10 11 6091
10 12 1740
10 13 6114
10 14 7606
10 18 6589
10 19 6349
10 20 2892
10 21 2313
10 22 9636
10 26 6824
10 28 6538
10 32 4272
10 35 6973
10 38 9460
10 40 9218
10 41 4968
10 42 6358
10 45 4909
10 48 9371
10 50 4934
10 53 3219
10 56 6180
10 58 9807
10 62 4783
10 64 4479
10 66 6784
10 67 2925
10 70 603
10 71 33
10 73 1482
10 75 259
10 76 7250
10 80 5847
10 83 8130
10 84 4660
10 88 220
10 90 4334
10 93 6680
10 97 7582
10 99 9921
10 100 2111
11 12 5769
11 16 4098
11 19 7624
11 21 9124
11 23 6072
11 25 8246
11 26 8689
11 27 5467
11 30 2001
11 33 9870
11 37 7048
11 40 4958
11 43 4682
11 47 7880
11 49 940
11 52 3998
11 56 7718
11 59 5770
11 60 8565
11 61 786
11 65 615
11 69 4296
11 72 9464
11 75 2461
11 79 8933
11 81 24
11 85 9224
11 86 6047
11 87 212
11 89 1199
11 92 6608
11 96 550
11 97 9630
11 100 6006
12 13 7552
12 16 5521
12 18 5810
12 19 3808
12 20 2271
12 21 3077
12 24 1290
12 28 7170
12 30 772
12 34 7110
12 38 6186
12 42 4826
12 43 6195
12 47 9810
12 48 8034
12 51 358
12 52 8945
12 55 6442
12 58 8387
12 60 6367
12 61 9210
12 64 1847
12 67 5234
12 71 1000
12 73 4924
12 75 9681
12 76 9109
12 78 6593
12 82 6221
12 84 1116
12 87 8556
12 88 2531
12 89 6395
12 90 8595
12 91 5562
12 92 5425
12 95 744
12 98 5257
12 99 8979
12 100 1026
13 14 3410
13 16 7702
13 18 7904
13 20 7809
13 24 684
13 28 1070
13 31 9441
13 32 3079
13 35 8913
13 36 604
13 38 6622
13 42 5584
13 43 9639
13 47 2385
13 48 6140
13 51 8858
13 52 6808
13 55 2055
13 58 7192
13 61 1527
