99100 199992
38403 93245 1
48565 41455 128
95834 16785 762
43390 18254 327
36973 79540 429
74178 98252 251
93283 39826 260
75433 96830 284
66234 10964 988
76169 62063 9
34382 89095 410
85826 65586 26
43283 80588 67
67426 61448 819
52714 69700 989
77355 32017 207
97801 20541 497
33306 62229 339
43140 46767 89
91506 13861 24
35822 83960 6
18256 59172 475
8676 34063 660
2381 57965 814
55421 41988 807
20098 26816 747
17363 24360 827
51055 76655 280
33540 89092 973
94762 34308 680
40283 81025 681
251 2421 404
80964 68615 248
94171 94590 618
19274 79400 996
85133 39361 361
71330 72959 147
63626 23258 345
47733 78832 89
33718 4713 274
56949 72861 893
65241 75543 187
48144 27822 992
17354 43141 390
85416 75470 526
20910 86549 45
10195 72572 595
92245 23533 631
22321 67015 983
17521 40254 361
4033 86740 110
53395 31697 618
79880 53534 62
6138 53583 284
35969 22322 122
29792 85481 937
64342 11318 939
29615 41393 408
94962 19140 765
41346 46104 637
52916 86514 738
44874 63409 376
94248 63248 552
19247 34582 63
15666 72926 571
58495 82380 912
21080 53973 604
45747 96190 82
3462 97541 35
29585 41778 243
68707 73292 795
10316 66385 224
36195 92612 447
12370 7311 577
19951 42357 916
45030 79154 361
60556 4521 731
21443 90758 345
93886 69430 539
10377 67376 367
10550 48068 664
54108 55770 406
59249 73974 356
43077 24240 357
16408 88805 431
5837 61397 485
13075 36745 310
54336 81683 985
36601 38655 550
49847 45211 698
16571 96089 114
59682 85807 944
6832 3353 55
90207 13031 773
68145 95827 60
62066 45193 779
73660 5604 414
6624 32217 861
91029 97306 240
64326 60755 87
61426 4341 328
3850 50170 587
46754 41171 468
25775 16499 795
20599 62507 364
7202 80475 680
43128 24695 406
90353 22542 952
33861 91753 564
23201 92934 496
97611 4836 62
4010 24754 866
16892 4606 345
53458 79434 348
40257 10588 438
91198 26525 502
48390 42017 649
27093 33224 43
5437 62203 862
97604 49388 321
8883 10244 929
27739 31808 121
92148 88688 927
86491 69718 882
87230 50007 648
90354 1607 861
71870 34583 990
84064 26577 987
68595 37190 533
75095 80034 87
51393 57174 272
55013 356 342
55553 95964 423
89680 45597 347
49730 65437 998
49730 93999 749
77655 69601 970
62543 94115 283
94060 67211 917
81941 41318 672
88534 10472 520
36123 74249 898
66689 56939 741
53178 32608 632
71526 98392 499
6222 91697 953
64291 56489 616
93337 70551 514
50408 25901 276
55590 79272 292
48020 91507 826
80499 89865 434
94725 75978 939
75880 60080 700
85377 67979 809
51735 83268 674
11534 78248 782
69636 61147 62
40855 77804 304
96818 56695 14
69274 50862 922
75587 41185 405
45328 87903 833
33106 12692 402
26255 57267 286
33145 78325 894
25134 80698 748
91269 97557 525
16338 69189 242
31310 62475 472
54530 58237 298
26577 17761 441
26816 51912 691
4847 43608 928
30800 13845 506
89364 72955 644
52008 37901 940
14275 94226 198
78479 78824 114
19196 84788 788
41318 80810 419
20357 30177 293
55498 18406 505
67045 38613 461
37462 13488 472
84549 75933 640
98400 53664 949
10148 43896 884
26494 9941 742
73820 80394 615
96358 6046 298
31360 6426 880
22675 38520 696
96818 79989 784
97267 66385 396
56314 44423 418
62260 52265 444
9473 93056 977
37190 81401 357
5774 65996 595
21228 7924 415
94284 77324 800
93353 1449 118
56826 55630 948
98403 11779 567
48018 8503 770
95426 35469 868
91637 20577 746
60488 56624 498
66292 16460 123
21442 37065 585
32621 26491 250
53264 94036 371
11199 84380 375
9431 95099 104
22065 94944 214
26695 46460 283
37586 46481 471
29762 61040 770
29762 56949 959
53084 3967 612
28755 64222 842
58831 56015 314
31478 26695 720
2970 40342 20
14640 56707 383
97276 54885 529
19189 34577 564
91594 50522 168
34901 52719 929
95224 58917 260
49867 89455 184
60301 49706 264
87093 47149 562
66319 72159 652
87942 56400 526
71830 16571 85
